HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
24.4,0.115,20.0,6.96,0,0.464,6.538,58.7,3.917,3,223,18.6,394.959,7.73
24.5,0.015,80.0,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,390.939,5.99
19.7,0.089,21.0,5.64,0,0.439,5.963,45.7,6.815,4,243,16.8,395.559,13.45
22.9,0.062,40.0,1.25,0,0.429,6.49,44.4,8.792,1,335,19.7,396.898,5.98
22.6,0.067,0.0,3.24,0,0.46,6.333,17.2,5.215,4,430,16.9,375.209,7.34
13.1,8.717,0.0,18.1,0,0.693,6.471,98.8,1.726,24,666,20.2,391.979,17.12
11.9,20.716,0.0,18.1,0,0.659,4.138,100.0,1.178,24,666,20.2,370.219,23.34
19.2,0.151,0.0,10.01,0,0.547,6.021,82.6,2.747,6,432,17.8,394.51,10.3
24.8,0.214,22.0,5.86,0,0.431,6.438,8.9,7.397,7,330,19.1,377.068,3.59
26.6,0.057,0.0,4.49,0,0.449,6.63,56.1,4.438,3,247,18.5,392.299,6.53
21.6,0.269,0.0,9.9,0,0.544,6.266,82.8,3.263,4,304,18.4,393.389,7.9
22.6,0.047,0.0,3.41,0,0.489,6.417,66.1,3.092,2,270,17.8,392.18,8.81
16.5,0.211,12.5,7.87,0,0.524,5.631,100.0,6.082,5,311,15.2,386.629,29.93
33.8,0.54,20.0,3.97,0,0.647,7.203,81.8,2.112,5,264,13.0,392.799,9.59
21.4,0.169,0.0,25.65,0,0.581,5.986,88.4,1.993,2,188,19.1,385.02,14.81
19.8,0.128,0.0,8.56,0,0.52,6.474,97.1,2.433,5,384,20.9,395.238,12.27
31.6,0.412,0.0,6.2,0,0.504,7.163,79.9,3.216,8,307,17.4,372.078,6.36
24.7,0.021,85.0,0.74,0,0.41,6.383,35.7,9.188,2,313,17.3,396.898,5.77
21.4,0.095,0.0,12.83,0,0.437,6.286,45.0,4.503,5,398,18.7,383.229,8.94
24.3,0.34,22.0,5.86,0,0.431,6.108,34.9,8.055,7,330,19.1,390.18,9.16
22.5,0.252,0.0,10.59,0,0.489,5.783,72.7,4.355,4,277,18.6,389.43,18.06
21.0,0.08,0.0,5.96,0,0.499,5.85,41.5,3.934,5,279,19.2,396.898,8.77
22.2,0.072,0.0,4.49,0,0.449,6.121,56.8,3.748,3,247,18.5,395.148,8.44
14.3,0.881,0.0,21.89,0,0.624,5.637,94.7,1.98,4,437,21.2,396.898,18.34
32.5,0.1,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.898,5.68
13.2,1.388,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,27.71
42.8,0.369,22.0,5.86,0,0.431,8.259,8.4,8.907,7,330,19.1,396.898,3.54
22.8,0.762,20.0,3.97,0,0.647,5.56,62.8,1.986,5,264,13.0,392.398,10.45
22.1,0.79,0.0,9.9,0,0.544,6.122,52.8,2.64,4,304,18.4,396.898,5.98
13.3,0.25,0.0,21.89,0,0.624,5.857,98.2,1.669,4,437,21.2,392.039,21.32
27.0,1.273,0.0,19.58,1,0.605,6.25,92.6,1.798,5,403,14.7,338.92,5.5
13.6,1.252,0.0,8.14,0,0.538,5.57,98.1,3.798,4,307,21.0,376.568,21.02
10.4,25.941,0.0,18.1,0,0.679,5.304,89.1,1.647,24,666,20.2,127.36,26.64
23.2,0.07,0.0,4.05,0,0.51,6.02,47.2,3.555,5,296,16.6,393.229,10.11
14.1,10.062,0.0,18.1,0,0.584,6.833,94.3,2.088,24,666,20.2,81.33,19.69
18.5,0.191,22.0,5.86,0,0.431,5.605,70.2,7.955,7,330,19.1,389.129,18.46
20.4,0.131,0.0,10.01,0,0.547,5.872,73.1,2.477,6,432,17.8,338.629,15.37
36.2,0.069,0.0,2.18,0,0.458,7.147,54.2,6.062,3,222,18.7,396.898,5.33
19.6,1.496,0.0,19.58,0,0.871,5.404,100.0,1.592,5,403,14.7,341.6,13.28
24.8,0.037,25.0,4.86,0,0.426,6.302,32.2,5.401,4,281,19.0,396.898,6.72
21.7,0.108,0.0,8.56,0,0.52,6.195,54.4,2.778,5,384,20.9,393.488,13.0
15.1,6.962,0.0,18.1,0,0.7,5.713,97.0,1.926,24,666,20.2,394.43,17.11
7.2,14.236,0.0,18.1,0,0.693,6.343,100.0,1.574,24,666,20.2,396.898,20.32
33.2,0.105,40.0,6.41,1,0.447,7.267,49.0,4.787,4,254,17.6,389.25,6.05
20.0,0.436,0.0,10.59,1,0.489,5.344,100.0,3.875,4,277,18.6,396.898,23.09
27.1,0.145,12.5,7.87,0,0.524,6.172,96.1,5.95,5,311,15.2,396.898,19.15
31.0,0.825,20.0,3.97,0,0.647,7.327,94.5,2.079,5,264,13.0,393.42,11.25
8.4,13.678,0.0,18.1,0,0.74,5.935,87.9,1.821,24,666,20.2,68.95,34.02
29.6,0.082,22.0,5.86,0,0.431,6.957,6.8,8.907,7,330,19.1,386.09,3.53
27.5,0.149,0.0,8.56,0,0.52,6.727,79.9,2.778,5,384,20.9,394.76,9.42
32.0,0.096,40.0,6.41,0,0.447,6.854,42.8,4.267,4,254,17.6,396.898,2.98
36.2,0.069,0.0,2.46,0,0.488,6.144,62.2,2.598,3,193,17.8,396.898,9.45
15.6,3.535,0.0,19.58,1,0.871,6.152,82.6,1.745,5,403,14.7,88.01,15.02
34.6,0.038,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.199,6.62
19.5,0.133,0.0,8.56,0,0.52,5.851,96.7,2.107,5,384,20.9,394.049,16.47
18.2,0.043,80.0,1.91,0,0.413,5.663,21.9,10.586,4,334,22.0,382.799,8.05
27.9,0.036,80.0,4.95,0,0.411,6.63,23.4,5.117,4,245,19.2,396.898,4.7
13.9,0.841,0.0,8.14,0,0.538,5.599,85.7,4.455,4,307,21.0,303.42,16.51
7.2,16.812,0.0,18.1,0,0.7,5.277,98.1,1.426,24,666,20.2,396.898,30.81
20.3,0.072,0.0,25.65,0,0.581,6.004,84.1,2.197,2,188,19.1,377.67,14.27
16.3,28.656,0.0,18.1,0,0.597,5.155,100.0,1.589,24,666,20.2,210.97,20.08
23.4,0.195,0.0,10.81,0,0.413,6.245,6.2,5.287,4,305,19.2,377.17,7.54
48.3,0.331,0.0,6.2,0,0.507,8.247,70.4,3.652,8,307,17.4,378.949,3.95
19.1,2.314,0.0,19.58,0,0.605,5.88,97.3,2.389,5,403,14.7,348.129,12.03
23.8,2.3,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1
22.9,0.042,28.0,15.04,0,0.464,6.442,53.6,3.666,4,270,18.2,395.01,8.16
15.0,19.609,0.0,18.1,0,0.671,7.313,97.9,1.316,24,666,20.2,396.898,13.44
43.1,0.534,20.0,3.97,0,0.647,7.52,89.4,2.14,5,264,13.0,388.369,7.26
15.0,51.136,0.0,18.1,0,0.597,5.757,100.0,1.413,24,666,20.2,2.6,10.11
14.6,2.369,0.0,19.58,0,0.871,4.926,95.7,1.461,5,403,14.7,391.709,29.53
37.0,0.091,45.0,3.44,0,0.437,6.951,21.5,6.48,5,398,15.2,377.68,5.1
23.3,0.093,30.0,4.93,0,0.428,6.606,42.2,6.19,6,300,16.6,383.779,7.37
22.2,0.103,30.0,4.93,0,0.428,6.358,52.9,7.035,6,300,16.6,372.75,11.22
20.6,0.043,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.898,10.59
11.3,9.187,0.0,18.1,0,0.7,5.536,100.0,1.58,24,666,20.2,396.898,23.6
33.4,0.075,33.0,2.18,0,0.472,7.42,71.9,3.099,7,222,18.4,396.898,6.47
15.0,0.225,12.5,7.87,0,0.524,6.377,94.3,6.347,5,311,15.2,392.52,20.45
50.0,5.67,0.0,18.1,1,0.631,6.683,96.8,1.357,24,666,20.2,375.328,3.73
22.3,2.45,0.0,19.58,0,0.605,6.402,95.2,2.262,5,403,14.7,330.039,11.32
50.0,0.056,0.0,2.46,0,0.488,7.831,53.6,3.199,3,193,17.8,392.629,4.45
22.0,0.035,34.0,6.09,0,0.433,6.59,40.4,5.492,7,329,16.1,395.75,9.5
27.1,0.054,0.0,13.92,0,0.437,6.549,51.0,5.96,4,289,16.0,392.85,7.39
37.6,0.382,0.0,6.2,0,0.504,8.04,86.5,3.216,8,307,17.4,387.379,3.13
24.4,0.136,0.0,10.59,1,0.489,6.064,59.1,4.239,4,277,18.6,381.318,14.66
16.1,6.444,0.0,18.1,0,0.584,6.425,74.8,2.2,24,666,20.2,97.95,12.03
16.8,4.222,0.0,18.1,1,0.77,5.803,89.0,1.905,24,666,20.2,353.039,14.64
10.5,22.051,0.0,18.1,0,0.74,5.818,92.4,1.866,24,666,20.2,391.449,22.11
50.0,0.527,0.0,6.2,0,0.504,8.725,83.0,2.894,8,307,17.4,382.0,4.63
19.5,0.034,0.0,5.19,0,0.515,5.869,46.3,5.231,5,224,20.2,396.898,9.8
23.0,0.303,0.0,7.38,0,0.493,6.312,28.9,5.416,5,287,19.6,396.898,6.15
8.7,15.177,0.0,18.1,0,0.74,6.152,100.0,1.914,24,666,20.2,9.32,26.45
16.1,2.635,0.0,9.9,0,0.544,4.973,37.8,2.519,4,304,18.4,350.449,12.64
23.1,13.522,0.0,18.1,0,0.631,3.863,100.0,1.511,24,666,20.2,131.42,13.33
22.9,0.088,12.5,7.87,0,0.524,6.012,66.6,5.56,5,311,15.2,395.6,12.43
43.8,0.082,0.0,2.89,0,0.445,7.82,36.9,3.495,2,276,18.0,393.529,3.57
21.7,0.094,12.5,7.87,0,0.524,5.889,39.0,5.451,5,311,15.2,390.5,15.71
7.4,22.597,0.0,18.1,0,0.7,5.0,89.5,1.518,24,666,20.2,396.898,31.99
22.0,0.011,55.0,2.25,0,0.389,6.453,31.9,7.307,1,300,15.3,394.719,8.23
21.5,1.657,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.799,14.1
22.0,0.069,0.0,25.65,0,0.581,5.87,69.7,2.258,2,188,19.1,389.148,14.37
33.0,0.02,17.5,1.38,0,0.416,7.104,59.5,9.223,3,216,18.6,393.238,8.05
6.3,9.917,0.0,18.1,0,0.693,5.852,77.8,1.5,24,666,20.2,338.158,29.97
8.4,11.812,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
46.7,0.298,0.0,6.2,0,0.504,7.686,17.0,3.375,8,307,17.4,377.51,3.92
22.7,5.202,0.0,18.1,1,0.77,6.127,83.4,2.723,24,666,20.2,395.43,11.48
22.8,0.101,0.0,10.01,0,0.547,6.715,81.6,2.677,6,432,17.8,395.59,10.16
31.5,0.512,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.068,4.73
18.4,0.33,0.0,21.89,0,0.624,5.822,95.4,2.47,4,437,21.2,388.689,15.03
8.8,73.534,0.0,18.1,0,0.679,5.957,100.0,1.803,24,666,20.2,16.45,20.62
29.8,0.126,45.0,3.44,0,0.437,6.556,29.1,4.567,5,398,15.2,382.84,4.56
8.5,7.672,0.0,18.1,0,0.693,5.747,98.9,1.633,24,666,20.2,393.1,19.92
21.7,0.174,0.0,10.59,1,0.489,5.96,92.1,3.877,4,277,18.6,393.25,17.27
11.8,10.672,0.0,18.1,0,0.74,6.459,94.8,1.988,24,666,20.2,43.06,23.98
20.4,0.131,0.0,8.56,0,0.52,6.127,85.2,2.122,5,384,20.9,387.689,14.09
23.1,0.019,85.0,4.15,0,0.429,6.516,27.7,8.535,4,351,17.9,392.43,6.36
23.6,0.092,0.0,4.05,0,0.51,6.416,84.1,2.646,5,296,16.6,395.5,9.04
16.6,0.229,0.0,6.91,0,0.448,6.03,85.5,5.689,3,233,17.9,392.738,18.8
21.7,0.408,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.238,21.46
22.7,2.242,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.109,11.64
19.2,0.34,0.0,21.89,0,0.624,6.458,98.9,2.118,4,437,21.2,395.039,12.6
17.2,0.062,0.0,4.39,0,0.442,5.898,52.3,8.014,3,352,18.8,364.609,12.67
50.0,2.01,0.0,19.58,0,0.605,7.929,96.2,2.046,5,403,14.7,369.299,3.7
23.1,1.054,0.0,8.14,0,0.538,5.935,29.3,4.499,4,307,21.0,386.85,6.58
35.1,0.21,20.0,3.33,0,0.443,6.812,32.2,4.101,5,216,14.9,396.898,4.85
22.0,0.039,0.0,3.41,0,0.489,6.405,73.9,3.092,2,270,17.8,393.549,8.2
28.5,0.035,80.0,4.95,0,0.411,6.861,27.9,5.117,4,245,19.2,396.898,3.33
23.1,0.139,0.0,4.05,0,0.51,5.572,88.5,2.596,5,296,16.6,396.898,14.69
17.3,0.15,0.0,25.65,0,0.581,5.856,97.0,1.944,2,188,19.1,370.309,25.41
21.9,3.474,0.0,18.1,1,0.718,8.78,82.9,1.905,24,666,20.2,354.549,5.29
13.5,1.613,0.0,8.14,0,0.538,6.096,96.9,3.76,4,307,21.0,248.31,20.34
26.7,0.358,0.0,6.2,1,0.507,6.951,88.5,2.862,8,307,17.4,391.699,9.71
28.1,0.141,0.0,10.59,0,0.489,6.375,32.3,3.945,4,277,18.6,385.809,9.38
10.9,15.874,0.0,18.1,0,0.671,6.545,99.1,1.519,24,666,20.2,396.898,21.08
14.5,8.492,0.0,18.1,0,0.584,6.348,86.1,2.053,24,666,20.2,83.45,17.64
32.2,0.009,90.0,2.97,0,0.4,7.088,20.8,7.307,1,285,15.3,394.719,7.85
30.7,0.786,20.0,3.97,0,0.647,7.014,84.6,2.133,5,264,13.0,384.068,14.79
20.9,0.128,12.5,6.07,0,0.409,5.885,33.0,6.498,4,345,18.9,396.898,8.79
20.5,0.197,22.0,5.86,0,0.431,6.226,79.2,8.055,7,330,19.1,376.139,10.15
32.0,0.079,45.0,3.44,0,0.437,6.782,41.1,3.789,5,398,15.2,393.869,6.68
11.955074347044944,0.044529308598909606,0.0,11.921926468238553,0,0.5730938691291986,6.0362431853177485,80.79106406839193,2.502825847096827,0,273,20.95294124207748,396.91252550413424,7.895965599022515
11.878051379196664,0.046235636487683085,0.0,11.97371249533057,0,0.572957425345993,6.028098477908356,80.1645252117007,2.507481217458964,1,273,21.025286376152927,396.95054443776365,7.852859630524616
11.914300821797509,0.04639851008548163,0.0,11.93980195594473,0,0.5727893580038772,6.0443586882036655,81.02708895443071,2.5001530328509416,0,272,21.01323655887959,396.8466838954923,7.815085792323539
11.882574770638602,0.0496088731273027,0.0,11.946763082714334,0,0.5731092934729649,6.012031178787293,80.8452922522411,2.508277951358133,0,274,21.009257175278663,396.9366653050609,7.872475646966735
18.678401018271725,0.20543846931728704,0.0,9.69,0,0.585,5.59702765372962,74.0768154367006,2.6083983160001343,6,391,19.2,395.89160828033476,18.545324463968306
18.81329485728083,0.20534704050259822,0.0,9.69,0,0.585,5.744240710355875,73.65838313711077,2.6395827429885896,6,391,19.2,396.60043226989717,18.761641035198913
18.22012253382383,0.21591126658411094,0.0,9.69,0,0.585,5.91501160771828,74.87989914994411,2.4026477985194497,6,391,19.2,395.98886121881895,17.19870473112178
18.586896664701555,0.28151687409574605,0.0,9.69,0,0.585,5.652451041109529,73.84037256814662,2.671402608548325,6,391,19.2,396.34161924000557,18.14213773154655
18.993498253336245,0.31910810816927815,0.0,9.69,0,0.585,5.512717361248079,73.28627245618371,2.8172139142817216,6,391,19.2,397.07234096258975,26.60364728096101
20.096372270393804,0.3135078205887774,0.0,9.69,0,0.585,5.459420249848512,73.10303827557428,2.8994113919963,6,391,19.2,396.898,26.887594450181616
20.028023880606572,0.32989951278242213,0.0,9.69,0,0.585,5.709067468657919,76.80716731615533,3.1379394853837557,6,391,19.2,396.898,22.698758336879415
19.733506152908458,0.28703098094917645,0.0,9.697637457765108,0,0.5851787951323604,5.395275987453757,72.14425866310178,2.791115054065937,5,388,19.218615251912162,396.8736698008277,21.231814968132927
15.54679091220374,0.04653527092333167,0.0,11.93,0,0.573,6.162717840752504,79.8414225557862,2.368330825748882,1,273,21.0,396.898,10.041009028389984
20.520115846807137,0.043866948899772204,0.0,11.923186241407016,0,0.5731194751874472,6.12452425903814,77.01485282440255,2.29321436834286,1,274,20.99698650045458,396.85858228847223,9.092027815898328
20.551984043313247,0.04146878478555918,0.0,11.924404838863028,0,0.5727138525038522,6.124366046239657,76.69019168488441,2.287324245555691,0,273,21.027830613903436,396.8638620024153,9.23363099065694
20.839916517730117,0.05636701239750076,0.0,11.93,0,0.573,6.284480276194632,77.76562478201171,2.3067470871463662,1,273,21.0,398.12618824068056,9.149210555631363
21.241550461334924,0.2406311872934046,0.0,9.707919022329257,0,0.585115583793456,6.029093274317347,64.9811809294518,2.4125924304641324,6,392,19.208103521985144,396.8932104575951,12.721087824084895
21.105028550165883,0.24076399082847977,0.0,9.691325535872753,0,0.5852272533069548,6.009555899307545,65.34217133916411,2.406591945029488,6,391,19.233470561257565,396.8604216349158,12.880504676309908
18.745706060811045,0.28599823370218647,0.0,9.69,0,0.585,6.441500283578094,71.44927808477561,2.4175628295188147,6,391,19.2,397.538998246107,13.705449733144745
18.752606704517,0.2879430225209839,0.0,9.69,0,0.585,6.127130635005766,71.07874155957808,2.410971932495908,6,391,19.2,397.2682993788031,14.210056996005864
21.72133936382934,0.11946199291599151,0.0,11.93,0,0.573,7.425247351556227,93.57380522563618,2.4365686222759932,1,273,21.0,393.5110933016187,6.7390736759840735
22.46515063104643,0.14565220587195435,0.0,11.93,0,0.573,6.797556431154958,90.31539741320219,2.410701939628497,1,273,21.0,393.6454291445596,7.030735652367051
22.48787570417996,0.1554969406470644,0.0,11.93,0,0.573,6.8861516004844265,89.97097176182467,2.4806026350219996,1,273,21.0,394.21782968878694,6.787412647747206
23.32624373021228,0.14855341838557207,0.0,11.93,0,0.573,6.942383245758557,90.6215145559952,2.407120188932155,1,273,21.0,396.1100593589573,6.549365227960525
22.29083783869171,0.0650667635509873,0.0,11.967697393851118,0,0.5731502898624614,6.601523348579842,68.82079786274308,2.4764395574883533,0,275,21.0107442573073,391.9918438580122,9.705853110142401
22.361841692103386,0.06697333945045125,0.0,11.936897486667311,0,0.5731103548522941,6.586955276826116,68.9706049227778,2.4725747283718613,0,274,20.998221352667173,392.0758873446662,9.643481662838651
22.434516742850853,0.06200451578134196,0.0,11.92381438589027,0,0.5732514485694851,6.587905327533719,69.6521490207879,2.4814492639825163,1,273,21.03687247943886,392.0019261122477,9.560699134202224
19.147368166556838,0.06772783281914953,0.0,11.93,0,0.573,6.935304826673397,70.46625986947143,2.4820889344717285,1,273,21.0,396.4085355464324,11.243843793485084
23.20960444720908,0.17927092695762176,0.0,9.655088634939991,0,0.5849826724036666,5.685169624548598,28.34060360045734,2.800085547542532,6,391,19.205288304633292,393.2655328675576,17.605481500058573
23.868287456251696,0.22850736053628382,0.0,9.69,0,0.585,5.896030598849413,39.250192481119626,2.9801275856181504,6,391,19.2,393.53664583588363,21.382450589768972
23.00988480909517,0.17972550938284673,0.0,9.697674420704246,0,0.5849018930730483,5.6684927187884115,28.8471686243177,2.7958652878076977,6,390,19.187239294563845,393.28402536960806,17.51379656801422
23.128441071235354,0.17918213152563453,0.0,9.670043358145081,0,0.5851022728318406,5.668544207695897,28.9330405309245,2.7974110521504514,5,391,19.21703583470982,393.338966193707,17.6010454447846
22.94243746207267,0.06988112404638666,0.0,11.93,0,0.573,7.350328998437324,100.51160050997527,2.216990291144199,1,273,21.0,396.898,7.79958412046483
23.29231672453273,0.09713967511406897,0.0,11.93,0,0.573,7.040389298760773,92.04837764843143,2.3378116795891106,1,273,21.0,400.0387793688495,6.193324255473173
23.99452729057389,0.05941388143005521,0.0,11.903809192281937,0,0.5729294392397635,6.965105668002824,90.99122956342201,2.16970785516078,1,273,20.991708346723097,396.8867315096211,5.681469918577906
23.364168407840424,0.0672931181126541,0.0,11.93,0,0.573,7.179547306218503,93.964005084846,2.286913577880684,1,273,21.0,396.898,7.230407551821645
24.57026506694518,0.282569126974813,0.0,9.658731850679683,0,0.5849177862385043,5.935332142822766,42.480521226834064,2.3816091324555493,6,389,19.195608201016146,396.9032919094926,13.754288297302763
24.38653667268042,0.2775869530054365,0.0,9.657644668521671,0,0.5847666491222511,5.935921583492146,42.902359960273834,2.3817599667643656,6,390,19.197968619018305,396.8700513455885,13.657119102378195
24.537197696313036,0.2830770993811943,0.0,9.736098582008175,0,0.5849039316142716,5.921380488754176,42.41353667858868,2.380489141179882,6,389,19.19053429447736,396.8642125656593,13.706904781581173
24.59799589362099,0.27907597839052445,0.0,9.650901431007945,0,0.5849126880217977,5.920182749438959,42.57828944311011,2.3786899582731142,5,390,19.20366181594218,396.9217827195256,13.84105327473978
16.760158066799754,11.111552949748184,0.0,18.072860849750697,0,0.7154771859543299,6.415751295468608,100.26906514419765,1.844317371062791,23,666,20.199446643808965,314.3321161766988,14.892883414946416
16.754681260983034,11.090044566461136,0.0,18.228351348807582,0,0.7195129827181331,6.415567704809329,100.41506878643165,1.8390577178102123,24,666,20.19932903977026,319.4515427977431,15.041889540151752
16.69013563471533,11.13911650256922,0.0,18.13877172032076,0,0.7180796053419053,6.428620386495683,99.67005540928832,1.8588180335663613,23,665,20.199381273497355,318.04696940581726,15.12734824131116
16.801503028363925,11.101785322696145,0.0,18.119579795938588,0,0.7190414355417012,6.393515712962249,99.7970459955651,1.8511811411742345,24,666,20.200289418019597,316.5436573788363,14.884520874389642
16.859613525870852,11.892989892291691,0.0,18.1,0,0.759030369302633,6.508483579584432,98.59836428804451,2.107541064655337,24,666,20.2,386.6075288607893,21.588886787223554
17.15183903934055,9.75387258847542,0.0,18.146919231219982,0,0.7426453848606074,6.408473723414277,97.0766785161385,2.029999171344843,23,665,20.200267020905585,387.46768874676206,19.85338473184255
17.114299862108115,9.925883365745596,0.0,18.142187282009655,0,0.7399972544337905,6.404808316576883,97.26642698915501,2.043507283269979,23,665,20.200443900544673,389.2406866849268,19.52023651382104
17.098379210848595,9.591899905349115,0.0,18.049823205885744,0,0.7408037388830642,6.401121300626315,96.80394923341193,2.034830206157173,24,665,20.200186549560282,387.3942719137029,19.47456620166324
17.499574417204588,17.76683350780519,0.0,18.1,0,0.597,7.724461725254972,100.0,1.5335168941341795,24,666,20.2,38.65017573572769,28.441886206836372
17.201738029144014,14.07947097315553,0.0,18.131554863991337,0,0.5968379665047371,6.649105180714031,100.04727362113103,1.518927842739996,23,665,20.199798252960406,34.92157303686182,21.029086256474976
17.15163152858664,14.153126174972888,0.0,18.183361950256796,0,0.5980667490262678,6.670710883012102,100.19058545232411,1.5288600799794112,24,665,20.199337116942754,37.26457319217027,21.10881114398736
17.311440922732285,13.91281805093961,0.0,18.14317034608192,0,0.5991444826626156,6.639730921802523,100.0037487935676,1.5579595715078374,24,665,20.20014786775596,32.702580257272444,21.11637830849688
17.740787315037913,18.7957877535235,0.0,18.077113448157306,0,0.5958840694044741,4.637091826695911,99.70260947878059,1.564859221761826,23,666,20.200570863806796,25.688921710909913,34.43354100798322
