heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
101.22,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,19.5,4200
120.56,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,10.5,5000
19.44,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.0,100
27.66,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.0,3500
24.72,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,5.0,2500
23.8,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.0,3500
13.22,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.5,2000
13.21,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,6.0,1000
74.94,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,15.5,4500
34.82,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,11.0,1500
37.73,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,7.5,2500
7.36,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.5,2500
34.41,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,4.0,4000
39.68,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,5.5,4000
31.73,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,5.5,3500
66.95,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,3.0,5000
33.24,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,1.0,4500
5.01,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,2.0,100
6.71,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.5,1500
83.75,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,15.5,4000
2.78,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.0,1000
33.29,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.5,1500
1.89,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,1000
3.88,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,2.5,2000
11.46,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,7.0,100
54.3,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,4000
99.37,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,13.0,3500
44.68,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,20.0,1000
70.49,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,10.0,4000
6.72,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.0,2000
18.63,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.5,4200
25.91,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.0,5000
49.88,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,8.0,2500
18.55,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,8.0,100
23.53,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,13.0,1500
48.02,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.5,2500
12.79,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,14.0,1000
60.26,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,4.5,4000
14.36,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,12.0,2000
58.57,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,9.5,3000
9.81,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.5,2500
69.24,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,7.5,5000
11.02,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,2.0,2000
32.54,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,6.5,2500
59.92,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,11.0,2500
59.69,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,6.0,4000
57.3,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,11.5,3000
49.86,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,12.0,2500
14.31,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,10.0,2500
71.16,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,7.5,4000
75.58,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,11.0,4500
29.61,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,7.0,3000
93.03,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,11.0,4000
2.44,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.0,100
8.76,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,2.5,2000
20.88,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,3.0,2500
4.71,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,1.5,1000
50.43,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,15.5,2500
46.01,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,2.0,5000
13.58,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,7.5,100
56.08,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,8.0,4500
94.49,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,17.5,4000
30.1,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,6.0,2500
56.22,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.0,3000
6.65,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,2.0,1500
132.93,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,13.0,5000
93.74,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,12.0,5000
6.89,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.0,2000
15.67,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,11.0,2500
109.84,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,13.5,5000
13.09,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,5.0,1000
42.13,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,10.0,4200
49.35,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,7.0,3000
4.53,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,5.0,1000
23.34,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.0,4200
2.2,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.5,1000
10.26,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,3.5,1000
5.52,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.5,100
34.61,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,9.0,2500
29.97,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,9.0,1500
6.88,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,1.5,1500
12.32,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,12.0,1500
28.99,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,8.5,1500
28.88,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,2.0,3500
19.99,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.0,4000
4.71,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,3500
113.6,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,12.0,4500
92.09,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,20.0,2000
157.92,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,19.5,5000
22.3,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.0,3000
46.35,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,11.5,3000
50.79,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,11.0,3000
14.34,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.0,3500
33.78,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,8.0,2000
57.87,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,11.0,4500
41.17,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,10.5,1500
12.53,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.0,2000
23.48,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,4.5,2500
33.42,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,4.5,5000
76.31,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,8.0,5000
12.36,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,2.5,2500
61.15,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,16.0,3000
29.43,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,10.5,100
8.69,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.5,2000
9.97,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,11.0,1000
3.3,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,100
94.89,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,20.0,3000
34.41,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,3.5,5000
7.29,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,1.5,2000
161.7,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,19.0,3500
25.5,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,12.5,100
73.53,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,19.0,3500
81.29,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,16.5,4200
89.27,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,6.5,5000
94.15,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,10.0,5000
27.77,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,11.5,1500
7.3,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,3.0,1500
40.54,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,8.0,2500
65.6,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,8.0,4000
55.35,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,4.0,4500
32.52,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,10.0,1000
42.32,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,4.5,4500
32.69,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,10.5,1500
29.27,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.5,3500
97.71,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,19.0,4200
49.56,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,16.0,100
-1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,100
31.0,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,9.5,2500
109.42,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,12.5,4500
49.71,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,4.0,4500
14.11,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,9.0,1500
76.96,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,12.0,3000
18.08,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,5.0,1500
10.26,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,4.0,1000
86.53,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,12.0,4500
19.93,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,5.0,1000
41.33,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.0,4500
6.55,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,4000
56.25,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,5.0,4500
28.41,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,16.0,1000
28.19,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,2.0,3500
66.25,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,14.5,2000
31.73,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,14.5,1000
7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,4.0,100
67.87,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,17.0,1500
16.48,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,4.5,1500
9.51,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,4.5,3000
48.33,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,9.0,4500
30.18,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,9.5,1000
20.28,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,5.5,2500
42.05,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,8.5,3500
10.23,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,10.0,1500
31.71,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,18.5,1500
43.38,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.5,4500
114.26,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,18.5,4200
88.44,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,8.5,4500
6.47,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,2500
-0.25,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,100
10.08,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,2.5,1500
52.43,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,1.0,5000
16.16,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,11.0,3500
67.43,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,8.0,4200
9.51,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,10.5,1000
129.72,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,14.0,4500
25.62,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,4.0,2500
25.96,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,7.5,1500
9.17,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,4.5,1000
3.25,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.5,100
56.28,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,8.5,4200
83.63,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,15.0,3500
26.77,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,15.5,100
37.55,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,4.0,3500
0.68,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.5,100
11.37,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,5.5,1000
29.36,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.0,4000
114.6,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,18.0,4500
16.82,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,8.0,1000
-0.09,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,2000
44.36,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,14.0,1500
27.66,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,13.5,3500
108.67,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,12.0,5000
33.59,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,7.5,4200
33.67,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,8.5,2000
38.58,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,2.0,4000
75.71,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,4.5,5000
116.26,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,10.0,5000
15.12,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,9.5,1000
22.38,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,9.5,1000
-0.15,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,100
8.56,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,2000
22.02,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.0,3500
34.46,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,4.0,4000
33.1,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,3.5,4500
134.14,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,19.5,4500
43.24,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,8.5,3500
29.39,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,8.0,2000
62.7,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,6.5,5000
35.64,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,12.0,1000
71.65,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,4.0,5000
24.35,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,5.0,2000
89.12,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,14.0,3000
1.79,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,1.0,1000
78.61,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,10.0,5000
39.01,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.5,4000
107.11,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,16.0,3000
26.99,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,8.5,2000
42.31,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,11.5,2500
34.54,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,9.5,2000
42.69,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,15.0,2000
25.42,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,7.5,1500
149.56,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,19.0,4200
63.78,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,16.5,2000
34.28,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.5,4500
24.08,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,1.0,4500
41.3,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,4.0,4000
12.23,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,4.0,2000
38.7,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,18.5,100
27.33,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,5.5,2500
30.81,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,5.0,2500
12.67,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,5.5,2000
138.81,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,12.5,5000
28.04,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,11.5,2500
122.33,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,17.0,4000
47.98,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,6.5,3500
103.96,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,13.5,4200
91.89,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,9.0,4500
29.29,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,6.5,3000
76.02,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,19.0,1500
21.52,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,5.5,1500
48.61,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,14.5,100
38.99,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,5.0,3500
51.48,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,16.5,100
56.9,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,12.5,3000
14.36,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,3.0,2500
20.22,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,10.5,100
10.37,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,7.0,3500
37.83,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,17.5,1000
125.91,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,18.5,3000
9.61,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,2.5,1500
39.41,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,8.5,2500
119.35,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,17.5,4500
78.94,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,7.0,4500
32.2,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,17.0,1500
16.3,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,15.0,2500
15.74,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,5.5,1000
78.86,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,12.5,5000
31.22,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.5,4000
56.76,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,14.0,2500
13.54,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,5.0,1500
40.86,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.0,5000
13.42,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,3.0,100
35.27,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,12.0,1500
19.86,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,7.5,1500
166.11,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,13.0,5000
5.73,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,1.5,1500
2.75,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,0.5,1000
20.74,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,2.0,3000
38.78,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,3.0,5000
22.12,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,11.5,100
60.57,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,19.0,2000
13.33,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,8.5,1500
20.27,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,8.0,100
67.03,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,12.0,5000
137.07,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,17.5,4000
79.11,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,8.0,4500
50.2,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,10.5,2000
9.1,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,6.0,3500
21.15,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,10.0,100
22.12,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,6.5,2000
1.03,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,1.0,1000
27.48,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,7.5,100
6.33,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,2.0,1500
63.06,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,18.5,3500
78.76,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,2.5,5000
38.06,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,5.5,3000
58.1,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,14.5,1500
26.81,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,9.5,2000
10.1,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,5.5,100
15.8,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,5.5,1000
20.75,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,17.0,2000
25.74,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,11.0,1500
22.17,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,6.5,2000
5.28,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,6.5,100
3.85,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.5,1500
11.46,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.5,2500
78.37,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,11.5,4000
154.87,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,15.5,5000
98.63,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,15.5,3000
39.24,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,10.0,2500
